table,rows,hasModel,callers,component,emptyClass,compClass,refCols
trainer_availability,0,true,3,main,modelled-called,,trainer_id
trainer_certifications,0,false,2,main,unmodelled,,trainer_id|verified_by_admin_id
trainer_commissions,0,true,4,main,modelled-called,,order_id|trainer_id|client_id|package_id|session_id
trainer_permissions,0,true,7,main,modelled-called,,trainerId
user_appearance_profiles,1,true,0,main,,,userId
user_dietary_identities,0,true,0,main,modelled-uncalled,,userId
user_feature_flags,0,true,1,detached(1),modelled-called,drift-suspect,userId
user_follows,0,true,1,main,modelled-called,,followerId|followingId
user_watch_history,0,true,1,main,modelled-called,,user_id|video_id
variation_logs,0,true,0,main,modelled-uncalled,,clientId|trainerId|equipmentProfileId
video_access_grants,0,true,1,main,modelled-called,,user_id|video_id|collection_id
video_analytics,0,false,3,main,unmodelled,,video_id|user_id|workout_id|session_id
video_catalog,0,true,7,main,modelled-called,,exercise_id|creator_id|youtube_video_id|youtube_channel_id
video_collection_items,0,true,1,main,modelled-called,,collectionId|videoId
video_collections,1,true,2,main,,,creatorId
video_job_log,0,true,1,detached(1),modelled-called,app-ref,job_id
video_outbound_clicks,0,true,1,main,modelled-called,,video_id|user_id|session_id
video_render_jobs,0,true,3,main,modelled-called,,user_id|project_id|exercise_id|parent_job_id|workflow_id
video_sessions,0,true,0,main,modelled-uncalled,,sessionId|trainerId|clientId|livekitRoomSid
waiver_consent_flags,12,true,0,main,,,waiverRecordId
waiver_record_versions,42,true,0,main,,,waiverRecordId|waiverVersionId
waiver_records,12,true,3,main,,,userId
waiver_versions,5,true,0,main,,,createdByUserId
workout_exercises,0,true,2,main,modelled-called,,workoutSessionId|exerciseId
workout_logs,1139,true,29,main,,,sessionId
workout_plan_completion_receipts,0,true,0,main,modelled-uncalled,,workout_plan_id|client_id|daily_workout_form_id|workout_session_id|assignment_id
workout_plan_day_exercises,0,true,0,main,modelled-uncalled,,workoutPlanDayId|exerciseId|alternateExerciseId
workout_plan_days,0,true,0,main,modelled-uncalled,,workoutPlanId
workout_plan_lifecycle_receipts,0,false,1,main,unmodelled,,plan_id|actor_id
workout_plan_pdf_derivatives,0,false,3,main,unmodelled,,plan_id
workout_plans,4,true,6,main,,,userId|trainer_id
workout_sessions,53,true,29,main,,,userId|workoutPlanId|workoutPlanDayId|trainerId|sessionId|clientRequestId
workout_templates,0,true,3,main,modelled-called,,created_by_admin_id|userId
workshop_notes,0,false,0,main,unmodelled,,workshopId|createdByUserId
workshops,1,false,0,main,,,sourceId|attendeeUserId
